scope,window_s,input_group,model,eval_split,n_samples,n_features,n_classes_train,n_classes_eval,n_unknown_protection,accuracy,macro_f1,macro_f1_observed_classes,balanced_accuracy,fit_status
all_sample,30,B_without_potential_leakage,random_forest,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,30,B_without_potential_leakage,random_forest,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,30,B_without_potential_leakage,hist_gradient_boosting,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,30,B_without_potential_leakage,hist_gradient_boosting,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,30,C_without_SLBIC_initial,naive_majority,validation,121,120,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,30,C_without_SLBIC_initial,naive_majority,test,123,120,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,30,C_without_SLBIC_initial,logistic_regression,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,30,C_without_SLBIC_initial,logistic_regression,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,30,C_without_SLBIC_initial,random_forest,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,30,C_without_SLBIC_initial,random_forest,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,30,C_without_SLBIC_initial,hist_gradient_boosting,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,30,C_without_SLBIC_initial,hist_gradient_boosting,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,A_strict_38,naive_majority,validation,121,190,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,40,A_strict_38,naive_majority,test,123,190,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,40,A_strict_38,logistic_regression,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,A_strict_38,logistic_regression,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,A_strict_38,random_forest,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,A_strict_38,random_forest,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,A_strict_38,hist_gradient_boosting,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,A_strict_38,hist_gradient_boosting,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,B_without_potential_leakage,naive_majority,validation,121,185,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,40,B_without_potential_leakage,naive_majority,test,123,185,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,40,B_without_potential_leakage,logistic_regression,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,B_without_potential_leakage,logistic_regression,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,B_without_potential_leakage,random_forest,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,B_without_potential_leakage,random_forest,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,B_without_potential_leakage,hist_gradient_boosting,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,B_without_potential_leakage,hist_gradient_boosting,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,C_without_SLBIC_initial,naive_majority,validation,121,120,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,40,C_without_SLBIC_initial,naive_majority,test,123,120,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,40,C_without_SLBIC_initial,logistic_regression,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,C_without_SLBIC_initial,logistic_regression,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,C_without_SLBIC_initial,random_forest,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,C_without_SLBIC_initial,random_forest,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,40,C_without_SLBIC_initial,hist_gradient_boosting,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,40,C_without_SLBIC_initial,hist_gradient_boosting,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,A_strict_38,naive_majority,validation,121,190,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,60,A_strict_38,naive_majority,test,123,190,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,60,A_strict_38,logistic_regression,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,A_strict_38,logistic_regression,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,A_strict_38,random_forest,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,A_strict_38,random_forest,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,A_strict_38,hist_gradient_boosting,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,A_strict_38,hist_gradient_boosting,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,B_without_potential_leakage,naive_majority,validation,121,185,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,60,B_without_potential_leakage,naive_majority,test,123,185,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,60,B_without_potential_leakage,logistic_regression,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,B_without_potential_leakage,logistic_regression,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,B_without_potential_leakage,random_forest,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,B_without_potential_leakage,random_forest,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,B_without_potential_leakage,hist_gradient_boosting,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,B_without_potential_leakage,hist_gradient_boosting,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,C_without_SLBIC_initial,naive_majority,validation,121,120,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,60,C_without_SLBIC_initial,naive_majority,test,123,120,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,60,C_without_SLBIC_initial,logistic_regression,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,C_without_SLBIC_initial,logistic_regression,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,C_without_SLBIC_initial,random_forest,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,C_without_SLBIC_initial,random_forest,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,60,C_without_SLBIC_initial,hist_gradient_boosting,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,60,C_without_SLBIC_initial,hist_gradient_boosting,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,A_strict_38,naive_majority,validation,121,190,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,90,A_strict_38,naive_majority,test,123,190,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,90,A_strict_38,logistic_regression,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,A_strict_38,logistic_regression,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,A_strict_38,random_forest,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,A_strict_38,random_forest,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,A_strict_38,hist_gradient_boosting,validation,121,190,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,A_strict_38,hist_gradient_boosting,test,123,190,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,B_without_potential_leakage,naive_majority,validation,121,185,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,90,B_without_potential_leakage,naive_majority,test,123,185,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,90,B_without_potential_leakage,logistic_regression,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,B_without_potential_leakage,logistic_regression,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
